2025-07-16 18:03:35.964126 - 텍스트: david, 언어: ko
2025-07-16 18:03:57.673264 - 텍스트: jack, 언어: ko
2025-07-16 18:04:06.645617 - 텍스트: jin, 언어: ja
2025-07-16 18:58:13.047740 - 텍스트: dddddd, 언어: ja
2025-07-16 19:00:25.585858 - 텍스트: dadd, 언어: ko
2025-07-16 19:08:08.966469 - 텍스트: 인생의 무엇인가, 언어: ko
2025-07-16 19:08:31.187409 - 텍스트: 나의 작은 고향이, 언어: en
2025-07-16 19:08:44.502161 - 텍스트: Something else was happening, 언어: en
2025-07-16 19:08:59.240553 - 텍스트: 소데스네! 와따시와 나미데스, 언어: ja
2025-07-16 19:13:16.672915 - 텍스트: 아아, 이렇게 어려울 줄이야.. 채점이 고통스러울 것만 같아요, 언어: ko
2025-07-16 20:01:19.259667 - 텍스트: ddddd, 언어: ko
