날짜와시간,mars_base_internal_temperature,mars_base_external_temperature,mars_base_internal_humidity,mars_base_external_illuminance,mars_base_internal_co2,mars_base_internal_oxygen
2025-08-28 17:38:44,22,4,57,624,0.0339,4.83
2025-08-28 17:38:56,29,14,57,528,0.0519,5.35
2025-08-28 17:39:01,18,17,56,684,0.0636,6.59
2025-08-28 17:39:06,23,11,50,522,0.0605,4.1
2025-08-28 17:39:11,28,19,60,585,0.0641,6.53
2025-08-28 17:39:16,26,3,60,533,0.0884,4.94
2025-08-28 17:39:21,25,12,59,602,0.0906,4.63
2025-08-28 17:39:26,24,9,57,584,0.0514,6.21
2025-08-28 17:39:31,21,14,54,627,0.0855,5.35
2025-08-28 17:39:36,19,17,60,571,0.0879,5.97
2025-08-28 17:39:41,23,10,60,690,0.0843,4.96
2025-08-28 17:39:46,25,12,54,598,0.0354,4.06
2025-08-28 17:39:51,25,8,54,510,0.0265,6.73
2025-08-28 17:39:56,20,18,59,637,0.0393,4.19
2025-08-28 17:40:01,29,3,58,698,0.0207,5.42
2025-08-28 17:40:06,26,3,53,508,0.0436,5.53
2025-08-28 17:40:11,21,17,50,519,0.0892,4.38
